4253436;55064461;
4253352;55064460;
4253263;55064300;
4253258;55064084;
4253235;55064183;
4253225;55064179;
4253190;55064445;
4253130;55064371;
4253079;55064064;
4253003;55062797;
4253004;55060763;
4252979;55062697;
4252904;55057985;
4252859;55058635;
4252850;55063000;
4252791;55064312;
4252775;55060315;
4252717;55061057;
4252710;55058542;
4252684;55056798;
4252668;55059903;
4252636;55063558;
4252598;55064457;
4252369;55059306;
4252341;55056513;
4252319;55055041;
4252315;55059910;
4252301;55060820;
4252255;55060546;
4252258;55057485;
4252183;55053303;
4252140;55060161;
